shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R008,28.625353,77.361585,6
R008,28.728042,77.53939,7
R008,28.585418,77.447198,8
R008,28.582458,77.50212,9
R008,28.70785,77.375678,10
R008,28.655551,77.459961,11
R008,28.61771,77.524487,12
R008,28.646165,77.39236,13
R008,28.667073,77.495986,14
R008,28.606207,77.412343,15
R009,28.61121,77.531084,1
R009,28.724734,77.364171,2
R009,28.612841,77.483796,3
R009,28.608563,77.376462,4
R009,28.738393,77.464209,5
R009,28.655081,77.506924,6
R009,28.715349,77.388082,7
R009,28.587448,77.43621,8
R009,28.646244,77.443405,9
R009,28.701234,77.484673,10
R009,28.74715,77.369684,11
R009,28.642472,77.417861,12
R009,28.725101,77.399731,13
R009,28.604238,77.439723,14
R010,28.614965,77.534653,1
R010,28.649764,77.52227,2
R010,28.669059,77.360118,3
R010,28.749871,77.517206,4
R010,28.744419,77.535273,5
R010,28.722765,77.383262,6
R010,28.657415,77.392749,7
R010,28.642187,77.361727,8
R010,28.638215,77.547062,9
R010,28.617737,77.506814,10
R010,28.651902,77.434601,11
R010,28.742317,77.549085,12
R011,28.710153,77.456071,1
R011,28.570103,77.414831,2
R011,28.573506,77.53582,3
R011,28.72817,77.516333,4
R011,28.625353,77.361585,5
R011,28.728042,77.53939,6
R011,28.585418,77.447198,7
R011,28.582458,77.50212,8
R011,28.70785,77.375678,9
R011,28.655551,77.459961,10
R011,28.61771,77.524487,11
R011,28.646165,77.39236,12
R011,28.667073,77.495986,13
R011,28.606207,77.412343,14
R011,28.749127,77.479976,15
R012,28.666521,77.544623,1
R012,28.638136,77.460408,2
R012,28.719293,77.473704,3
R012,28.725107,77.46547,4
R012,28.696823,77.359165,5
R012,28.611022,77.407878,6
R012,28.584363,77.396558,7
R012,28.58818,77.405595,8
R012,28.684423,77.422966,9
R012,28.636633,77.391901,10
R012,28.618056,77.537331,11
R012,28.686646,77.471826,12
R013,28.692708,77.457394,1
R013,28.618029,77.478192,2
R013,28.590079,77.436953,3
R013,28.65167,77.540763,4
R013,28.727654,77.402678,5
R013,28.660106,77.38573,6
R013,28.734273,77.524104,7
R013,28.62372,77.47779,8
R013,28.679615,77.380568,9
R013,28.707252,77.457876,10
R014,28.70785,77.375678,1
R014,28.655551,77.459961,2
R014,28.61771,77.524487,3
R014,28.646165,77.39236,4
R014,28.667073,77.495986,5
R014,28.606207,77.412343,6
R014,28.749127,77.479976,7
R014,28.648858,77.453515,8
R014,28.591781,77.394939,9
R014,28.630855,77.467662,10
R014,28.611421,77.394043,11
R014,28.582779,77.476221,12
R015,28.606207,77.412343,1
R015,28.749127,77.479976,2
R015,28.648858,77.453515,3
R015,28.591781,77.394939,4
R015,28.630855,77.467662,5
R015,28.611421,77.394043,6
R015,28.582779,77.476221,7
R015,28.61121,77.531084,8
R015,28.724734,77.364171,9
R015,28.612841,77.483796,10
R015,28.608563,77.376462,11
R015,28.738393,77.464209,12
R016,28.618056,77.537331,1
R016,28.686646,77.471826,2
R016,28.600805,77.495825,3
R016,28.599412,77.425891,4
R016,28.748114,77.478,5
R016,28.670251,77.486923,6
R016,28.721713,77.5052,7
R016,28.611229,77.35642,8
R016,28.626782,77.403548,9
R016,28.607977,77.538582,10
R016,28.727746,77.412936,11
R017,28.600805,77.495825,1
R017,28.599412,77.425891,2
R017,28.748114,77.478,3
R017,28.670251,77.486923,4
R017,28.721713,77.5052,5
R017,28.611229,77.35642,6
R017,28.626782,77.403548,7
R017,28.607977,77.538582,8
R017,28.727746,77.412936,9
R017,28.687979,77.429126,10
R017,28.734619,77.44177,11
R017,28.617678,77.399326,12
R017,28.671046,77.402548,13
R017,28.675225,77.529565,14
R018,28.626782,77.403548,1
R018,28.607977,77.538582,2
R018,28.727746,77.412936,3
R018,28.687979,77.429126,4
R018,28.734619,77.44177,5
R018,28.617678,77.399326,6
R018,28.671046,77.402548,7
R018,28.675225,77.529565,8
R018,28.641892,77.393864,9
R018,28.749557,77.451905,10
R018,28.586364,77.359423,11
R018,28.589737,77.475489,12
R018,28.712574,77.434432,13
R018,28.581435,77.426324,14
R018,28.749302,77.455823,15
R019,28.641892,77.393864,1
R019,28.749557,77.451905,2
R019,28.586364,77.359423,3
R019,28.589737,77.475489,4
R019,28.712574,77.434432,5
R019,28.581435,77.426324,6
R019,28.749302,77.455823,7
R019,28.744794,77.522156,8
R019,28.572067,77.494144,9
R019,28.692708,77.457394,10
R019,28.618029,77.478192,11
R019,28.590079,77.436953,12
R019,28.65167,77.540763,13
R019,28.727654,77.402678,14
R019,28.660106,77.38573,15
R019,28.734273,77.524104,16
R020,28.642472,77.417861,1
R020,28.725101,77.399731,2
R020,28.604238,77.439723,3
R020,28.645939,77.405709,4
R020,28.614965,77.534653,5
R020,28.649764,77.52227,6
R020,28.669059,77.360118,7
R020,28.749871,77.517206,8
R020,28.744419,77.535273,9
R020,28.722765,77.383262,10
R020,28.657415,77.392749,11
R020,28.642187,77.361727,12
R020,28.638215,77.547062,13
R020,28.617737,77.506814,14
R020,28.651902,77.434601,15
R020,28.742317,77.549085,16
R021,28.715283,77.495946,1
R021,28.666521,77.544623,2
R021,28.638136,77.460408,3
R021,28.719293,77.473704,4
R021,28.725107,77.46547,5
R021,28.696823,77.359165,6
R021,28.611022,77.407878,7
R021,28.584363,77.396558,8
R021,28.58818,77.405595,9
R021,28.684423,77.422966,10
R021,28.636633,77.391901,11
R021,28.618056,77.537331,12
R021,28.686646,77.471826,13
R021,28.600805,77.495825,14
R021,28.599412,77.425891,15
R021,28.748114,77.478,16
R022,28.646165,77.39236,1
R022,28.667073,77.495986,2
R022,28.606207,77.412343,3
R022,28.749127,77.479976,4
R022,28.648858,77.453515,5
R022,28.591781,77.394939,6
R022,28.630855,77.467662,7
R022,28.611421,77.394043,8
R022,28.582779,77.476221,9
R022,28.61121,77.531084,10
R022,28.724734,77.364171,11
R022,28.612841,77.483796,12
R023,28.727654,77.402678,1
R023,28.660106,77.38573,2
R023,28.734273,77.524104,3
R023,28.62372,77.47779,4
R023,28.679615,77.380568,5
R023,28.707252,77.457876,6
R023,28.710153,77.456071,7
R023,28.570103,77.414831,8
R023,28.573506,77.53582,9
R023,28.72817,77.516333,10
R023,28.625353,77.361585,11
R023,28.728042,77.53939,12
R023,28.585418,77.447198,13
R023,28.582458,77.50212,14
R024,28.611022,77.407878,1
R024,28.584363,77.396558,2
R024,28.58818,77.405595,3
R024,28.684423,77.422966,4
R024,28.636633,77.391901,5
R024,28.618056,77.537331,6
R024,28.686646,77.471826,7
R024,28.600805,77.495825,8
R024,28.599412,77.425891,9
R024,28.748114,77.478,10
R024,28.670251,77.486923,11
R024,28.721713,77.5052,12
R025,28.572067,77.494144,1
R025,28.692708,77.457394,2
R025,28.618029,77.478192,3
R025,28.590079,77.436953,4
R025,28.65167,77.540763,5
R025,28.727654,77.402678,6
R025,28.660106,77.38573,7
R025,28.734273,77.524104,8
R025,28.62372,77.47779,9
R025,28.679615,77.380568,10
R026,28.651902,77.434601,1
R026,28.742317,77.549085,2
R026,28.670038,77.493682,3
R026,28.597863,77.409342,4
R026,28.744368,77.465836,5
R026,28.667595,77.499595,6
R026,28.58029,77.466836,7
R026,28.660513,77.520544,8
R026,28.598338,77.542156,9
R026,28.58442,77.387165,10
R026,28.677106,77.485043,11
R027,28.707252,77.457876,1
R027,28.710153,77.456071,2
R027,28.570103,77.414831,3
R027,28.573506,77.53582,4
R027,28.72817,77.516333,5
R027,28.625353,77.361585,6
R027,28.728042,77.53939,7
R027,28.585418,77.447198,8
R027,28.582458,77.50212,9
R027,28.70785,77.375678,10
R028,28.72817,77.516333,1
R028,28.625353,77.361585,2
R028,28.728042,77.53939,3
R028,28.585418,77.447198,4
R028,28.582458,77.50212,5
R028,28.70785,77.375678,6
R028,28.655551,77.459961,7
R028,28.61771,77.524487,8
R028,28.646165,77.39236,9
R028,28.667073,77.495986,10
R028,28.606207,77.412343,11
R028,28.749127,77.479976,12
R028,28.648858,77.453515,13
R028,28.591781,77.394939,14
R029,28.655081,77.506924,1
R029,28.715349,77.388082,2
R029,28.587448,77.43621,3
R029,28.646244,77.443405,4
R029,28.701234,77.484673,5
R029,28.74715,77.369684,6
R029,28.642472,77.417861,7
R029,28.725101,77.399731,8
R029,28.604238,77.439723,9
R029,28.645939,77.405709,10
R029,28.614965,77.534653,11
R029,28.649764,77.52227,12
R029,28.669059,77.360118,13
R029,28.749871,77.517206,14
R029,28.744419,77.535273,15
R030,28.619505,77.394642,1
R030,28.702565,77.48534,2
R030,28.730592,77.367388,3
R030,28.645946,77.355959,4
R030,28.609355,77.451071,5
R030,28.574776,77.389768,6
R030,28.686979,77.458988,7
R030,28.609679,77.467853,8
R030,28.715697,77.3513,9
R030,28.715047,77.489628,10
R030,28.631245,77.381096,11
R030,28.742298,77.417319,12
R030,28.586694,77.369343,13
R030,28.722549,77.470745,14
R030,28.715283,77.495946,15
R030,28.666521,77.544623,16
R031,28.685097,77.355002,1
R031,28.619505,77.394642,2
R031,28.702565,77.48534,3
R031,28.730592,77.367388,4
R031,28.645946,77.355959,5
R031,28.609355,77.451071,6
R031,28.574776,77.389768,7
R031,28.686979,77.458988,8
R031,28.609679,77.467853,9
R031,28.715697,77.3513,10
R031,28.715047,77.489628,11
R031,28.631245,77.381096,12
R031,28.742298,77.417319,13
R031,28.586694,77.369343,14
R032,28.646165,77.39236,1
R032,28.667073,77.495986,2
R032,28.606207,77.412343,3
R032,28.749127,77.479976,4
R032,28.648858,77.453515,5
R032,28.591781,77.394939,6
R032,28.630855,77.467662,7
R032,28.611421,77.394043,8
R032,28.582779,77.476221,9
R032,28.61121,77.531084,10
R032,28.724734,77.364171,11
R033,28.666521,77.544623,1
R033,28.638136,77.460408,2
R033,28.719293,77.473704,3
R033,28.725107,77.46547,4
R033,28.696823,77.359165,5
R033,28.611022,77.407878,6
R033,28.584363,77.396558,7
R033,28.58818,77.405595,8
R033,28.684423,77.422966,9
R033,28.636633,77.391901,10
R033,28.618056,77.537331,11
R033,28.686646,77.471826,12
R033,28.600805,77.495825,13
R034,28.748114,77.478,1
R034,28.670251,77.486923,2
R034,28.721713,77.5052,3
R034,28.611229,77.35642,4
R034,28.626782,77.403548,5
R034,28.607977,77.538582,6
R034,28.727746,77.412936,7
R034,28.687979,77.429126,8
R034,28.734619,77.44177,9
R034,28.617678,77.399326,10
R034,28.671046,77.402548,11
R034,28.675225,77.529565,12
R035,28.655081,77.506924,1
R035,28.715349,77.388082,2
R035,28.587448,77.43621,3
R035,28.646244,77.443405,4
R035,28.701234,77.484673,5
R035,28.74715,77.369684,6
R035,28.642472,77.417861,7
R035,28.725101,77.399731,8
R035,28.604238,77.439723,9
R035,28.645939,77.405709,10
R036,28.626782,77.403548,1
R036,28.607977,77.538582,2
R036,28.727746,77.412936,3
R036,28.687979,77.429126,4
R036,28.734619,77.44177,5
R036,28.617678,77.399326,6
R036,28.671046,77.402548,7
R036,28.675225,77.529565,8
R036,28.641892,77.393864,9
R036,28.749557,77.451905,10
R036,28.586364,77.359423,11
R036,28.589737,77.475489,12
R036,28.712574,77.434432,13
R036,28.581435,77.426324,14
R036,28.749302,77.455823,15
R037,28.58818,77.405595,1
R037,28.684423,77.422966,2
R037,28.636633,77.391901,3
R037,28.618056,77.537331,4
R037,28.686646,77.471826,5
R037,28.600805,77.495825,6
R037,28.599412,77.425891,7
R037,28.748114,77.478,8
R037,28.670251,77.486923,9
R037,28.721713,77.5052,10
R037,28.611229,77.35642,11
R037,28.626782,77.403548,12
R037,28.607977,77.538582,13
R038,28.570103,77.414831,1
R038,28.573506,77.53582,2
R038,28.72817,77.516333,3
R038,28.625353,77.361585,4
R038,28.728042,77.53939,5
R038,28.585418,77.447198,6
R038,28.582458,77.50212,7
R038,28.70785,77.375678,8
R038,28.655551,77.459961,9
R038,28.61771,77.524487,10
R038,28.646165,77.39236,11
R038,28.667073,77.495986,12
R038,28.606207,77.412343,13
R038,28.749127,77.479976,14
R038,28.648858,77.453515,15
R039,28.687979,77.429126,1
R039,28.734619,77.44177,2
R039,28.617678,77.399326,3
R039,28.671046,77.402548,4
R039,28.675225,77.529565,5
R039,28.641892,77.393864,6
R039,28.749557,77.451905,7
R039,28.586364,77.359423,8
R039,28.589737,77.475489,9
R039,28.712574,77.434432,10
R039,28.581435,77.426324,11
R039,28.749302,77.455823,12
R039,28.744794,77.522156,13
R040,28.730592,77.367388,1
R040,28.645946,77.355959,2
R040,28.609355,77.451071,3
R040,28.574776,77.389768,4
R040,28.686979,77.458988,5
R040,28.609679,77.467853,6
R040,28.715697,77.3513,7
R040,28.715047,77.489628,8
R040,28.631245,77.381096,9
R040,28.742298,77.417319,10
R040,28.586694,77.369343,11
R040,28.722549,77.470745,12
R040,28.715283,77.495946,13
R040,28.666521,77.544623,14
R040,28.638136,77.460408,15
R040,28.719293,77.473704,16
R041,28.744794,77.522156,1
R041,28.572067,77.494144,2
R041,28.692708,77.457394,3
R041,28.618029,77.478192,4
R041,28.590079,77.436953,5
R041,28.65167,77.540763,6
R041,28.727654,77.402678,7
R041,28.660106,77.38573,8
R041,28.734273,77.524104,9
R041,28.62372,77.47779,10
R041,28.679615,77.380568,11
R041,28.707252,77.457876,12
R041,28.710153,77.456071,13
R041,28.570103,77.414831,14
R041,28.573506,77.53582,15
R042,28.710153,77.456071,1
R042,28.570103,77.414831,2
R042,28.573506,77.53582,3
R042,28.72817,77.516333,4
R042,28.625353,77.361585,5
R042,28.728042,77.53939,6
R042,28.585418,77.447198,7
R042,28.582458,77.50212,8
R042,28.70785,77.375678,9
R042,28.655551,77.459961,10
R042,28.61771,77.524487,11
R042,28.646165,77.39236,12
R042,28.667073,77.495986,13
R042,28.606207,77.412343,14
R042,28.749127,77.479976,15
R043,28.646244,77.443405,1
R043,28.701234,77.484673,2
R043,28.74715,77.369684,3
R043,28.642472,77.417861,4
R043,28.725101,77.399731,5
R043,28.604238,77.439723,6
R043,28.645939,77.405709,7
R043,28.614965,77.534653,8
R043,28.649764,77.52227,9
R043,28.669059,77.360118,10
R043,28.749871,77.517206,11
R044,28.61771,77.524487,1
R044,28.646165,77.39236,2
R044,28.667073,77.495986,3
R044,28.606207,77.412343,4
R044,28.749127,77.479976,5
R044,28.648858,77.453515,6
R044,28.591781,77.394939,7
R044,28.630855,77.467662,8
R044,28.611421,77.394043,9
R044,28.582779,77.476221,10
R044,28.61121,77.531084,11
R045,28.744419,77.535273,1
R045,28.722765,77.383262,2
R045,28.657415,77.392749,3
R045,28.642187,77.361727,4
R045,28.638215,77.547062,5
R045,28.617737,77.506814,6
R045,28.651902,77.434601,7
R045,28.742317,77.549085,8
R045,28.670038,77.493682,9
R045,28.597863,77.409342,10
R045,28.744368,77.465836,11
R045,28.667595,77.499595,12
R046,28.719293,77.473704,1
R046,28.725107,77.46547,2
R046,28.696823,77.359165,3
R046,28.611022,77.407878,4
R046,28.584363,77.396558,5
R046,28.58818,77.405595,6
R046,28.684423,77.422966,7
R046,28.636633,77.391901,8
R046,28.618056,77.537331,9
R046,28.686646,77.471826,10
R047,28.612841,77.483796,1
R047,28.608563,77.376462,2
R047,28.738393,77.464209,3
R047,28.655081,77.506924,4
R047,28.715349,77.388082,5
R047,28.587448,77.43621,6
R047,28.646244,77.443405,7
R047,28.701234,77.484673,8
R047,28.74715,77.369684,9
R047,28.642472,77.417861,10
R047,28.725101,77.399731,11
R047,28.604238,77.439723,12
R047,28.645939,77.405709,13
R047,28.614965,77.534653,14
R047,28.649764,77.52227,15
R048,28.587448,77.43621,1
R048,28.646244,77.443405,2
R048,28.701234,77.484673,3
R048,28.74715,77.369684,4
R048,28.642472,77.417861,5
R048,28.725101,77.399731,6
R048,28.604238,77.439723,7
R048,28.645939,77.405709,8
R048,28.614965,77.534653,9
R048,28.649764,77.52227,10
R049,28.61771,77.524487,1
R049,28.646165,77.39236,2
R049,28.667073,77.495986,3
R049,28.606207,77.412343,4
R049,28.749127,77.479976,5
R049,28.648858,77.453515,6
R049,28.591781,77.394939,7
R049,28.630855,77.467662,8
R049,28.611421,77.394043,9
R049,28.582779,77.476221,10
R049,28.61121,77.531084,11
R049,28.724734,77.364171,12
R049,28.612841,77.483796,13
R049,28.608563,77.376462,14
R049,28.738393,77.464209,15
R050,28.585418,77.447198,1
R050,28.582458,77.50212,2
R050,28.70785,77.375678,3
R050,28.655551,77.459961,4
R050,28.61771,77.524487,5
R050,28.646165,77.39236,6
R050,28.667073,77.495986,7
R050,28.606207,77.412343,8
R050,28.749127,77.479976,9
R050,28.648858,77.453515,10
R050,28.591781,77.394939,11
R050,28.630855,77.467662,12
R050,28.611421,77.394043,13
R050,28.582779,77.476221,14
