route_id,service_id,trip_id,trip_headsign
R010,WEEK,R010_T03,Stop 108
R010,WEEK,R010_T04,Stop 108
R010,WEEK,R010_T05,Stop 108
R010,WEEK,R010_T06,Stop 108
R011,WEEK,R011_T01,Stop 076
R011,WEEK,R011_T02,Stop 076
R011,WEEK,R011_T03,Stop 076
R011,WEEK,R011_T04,Stop 076
R011,WEEK,R011_T05,Stop 076
R011,WEEK,R011_T06,Stop 076
R012,WEEK,R012_T01,Stop 028
R012,WEEK,R012_T02,Stop 028
R012,WEEK,R012_T03,Stop 028
R012,WEEK,R012_T04,Stop 028
R012,WEEK,R012_T05,Stop 028
R012,WEEK,R012_T06,Stop 028
R013,WEEK,R013_T01,Stop 061
R013,WEEK,R013_T02,Stop 061
R013,WEEK,R013_T03,Stop 061
R013,WEEK,R013_T04,Stop 061
R013,WEEK,R013_T05,Stop 061
R013,WEEK,R013_T06,Stop 061
R014,WEEK,R014_T01,Stop 081
R014,WEEK,R014_T02,Stop 081
R014,WEEK,R014_T03,Stop 081
R014,WEEK,R014_T04,Stop 081
R014,WEEK,R014_T05,Stop 081
R014,WEEK,R014_T06,Stop 081
R015,WEEK,R015_T01,Stop 086
R015,WEEK,R015_T02,Stop 086
R015,WEEK,R015_T03,Stop 086
R015,WEEK,R015_T04,Stop 086
R015,WEEK,R015_T05,Stop 086
R015,WEEK,R015_T06,Stop 086
R016,WEEK,R016_T01,Stop 037
R016,WEEK,R016_T02,Stop 037
R016,WEEK,R016_T03,Stop 037
R016,WEEK,R016_T04,Stop 037
R016,WEEK,R016_T05,Stop 037
R016,WEEK,R016_T06,Stop 037
R017,WEEK,R017_T01,Stop 042
R017,WEEK,R017_T02,Stop 042
R017,WEEK,R017_T03,Stop 042
R017,WEEK,R017_T04,Stop 042
R017,WEEK,R017_T05,Stop 042
R017,WEEK,R017_T06,Stop 042
R018,WEEK,R018_T01,Stop 049
R018,WEEK,R018_T02,Stop 049
R018,WEEK,R018_T03,Stop 049
R018,WEEK,R018_T04,Stop 049
R018,WEEK,R018_T05,Stop 049
R018,WEEK,R018_T06,Stop 049
R019,WEEK,R019_T01,Stop 058
R019,WEEK,R019_T02,Stop 058
R019,WEEK,R019_T03,Stop 058
R019,WEEK,R019_T04,Stop 058
R019,WEEK,R019_T05,Stop 058
R019,WEEK,R019_T06,Stop 058
R020,WEEK,R020_T01,Stop 108
R020,WEEK,R020_T02,Stop 108
R020,WEEK,R020_T03,Stop 108
R020,WEEK,R020_T04,Stop 108
R020,WEEK,R020_T05,Stop 108
R020,WEEK,R020_T06,Stop 108
R021,WEEK,R021_T01,Stop 031
R021,WEEK,R021_T02,Stop 031
R021,WEEK,R021_T03,Stop 031
R021,WEEK,R021_T04,Stop 031
R021,WEEK,R021_T05,Stop 031
R021,WEEK,R021_T06,Stop 031
R022,WEEK,R022_T01,Stop 084
R022,WEEK,R022_T02,Stop 084
R022,WEEK,R022_T03,Stop 084
R022,WEEK,R022_T04,Stop 084
R022,WEEK,R022_T05,Stop 084
R022,WEEK,R022_T06,Stop 084
R023,WEEK,R023_T01,Stop 069
R023,WEEK,R023_T02,Stop 069
R023,WEEK,R023_T03,Stop 069
R023,WEEK,R023_T04,Stop 069
R023,WEEK,R023_T05,Stop 069
R023,WEEK,R023_T06,Stop 069
R024,WEEK,R024_T01,Stop 033
R024,WEEK,R024_T02,Stop 033
R024,WEEK,R024_T03,Stop 033
R024,WEEK,R024_T04,Stop 033
R024,WEEK,R024_T05,Stop 033
R024,WEEK,R024_T06,Stop 033
R025,WEEK,R025_T01,Stop 060
R025,WEEK,R025_T02,Stop 060
R025,WEEK,R025_T03,Stop 060
R025,WEEK,R025_T04,Stop 060
R025,WEEK,R025_T05,Stop 060
R025,WEEK,R025_T06,Stop 060
R026,WEEK,R026_T01,Stop 117
R026,WEEK,R026_T02,Stop 117
R026,WEEK,R026_T03,Stop 117
R026,WEEK,R026_T04,Stop 117
R026,WEEK,R026_T05,Stop 117
R026,WEEK,R026_T06,Stop 117
R027,WEEK,R027_T01,Stop 070
R027,WEEK,R027_T02,Stop 070
R027,WEEK,R027_T03,Stop 070
R027,WEEK,R027_T04,Stop 070
R027,WEEK,R027_T05,Stop 070
R027,WEEK,R027_T06,Stop 070
R028,WEEK,R028_T01,Stop 078
R028,WEEK,R028_T02,Stop 078
R028,WEEK,R028_T03,Stop 078
R028,WEEK,R028_T04,Stop 078
R028,WEEK,R028_T05,Stop 078
R028,WEEK,R028_T06,Stop 078
R029,WEEK,R029_T01,Stop 101
R029,WEEK,R029_T02,Stop 101
R029,WEEK,R029_T03,Stop 101
R029,WEEK,R029_T04,Stop 101
R029,WEEK,R029_T05,Stop 101
R029,WEEK,R029_T06,Stop 101
R030,WEEK,R030_T01,Stop 017
R030,WEEK,R030_T02,Stop 017
R030,WEEK,R030_T03,Stop 017
R030,WEEK,R030_T04,Stop 017
R030,WEEK,R030_T05,Stop 017
R030,WEEK,R030_T06,Stop 017
R031,WEEK,R031_T01,Stop 014
R031,WEEK,R031_T02,Stop 014
R031,WEEK,R031_T03,Stop 014
R031,WEEK,R031_T04,Stop 014
R031,WEEK,R031_T05,Stop 014
R031,WEEK,R031_T06,Stop 014
R032,WEEK,R032_T01,Stop 083
R032,WEEK,R032_T02,Stop 083
R032,WEEK,R032_T03,Stop 083
R032,WEEK,R032_T04,Stop 083
R032,WEEK,R032_T05,Stop 083
R032,WEEK,R032_T06,Stop 083
R033,WEEK,R033_T01,Stop 029
R033,WEEK,R033_T02,Stop 029
R033,WEEK,R033_T03,Stop 029
R033,WEEK,R033_T04,Stop 029
R033,WEEK,R033_T05,Stop 029
R033,WEEK,R033_T06,Stop 029
R034,WEEK,R034_T01,Stop 042
R034,WEEK,R034_T02,Stop 042
R034,WEEK,R034_T03,Stop 042
R034,WEEK,R034_T04,Stop 042
R034,WEEK,R034_T05,Stop 042
R034,WEEK,R034_T06,Stop 042
R035,WEEK,R035_T01,Stop 096
R035,WEEK,R035_T02,Stop 096
R035,WEEK,R035_T03,Stop 096
R035,WEEK,R035_T04,Stop 096
R035,WEEK,R035_T05,Stop 096
R035,WEEK,R035_T06,Stop 096
R036,WEEK,R036_T01,Stop 049
R036,WEEK,R036_T02,Stop 049
R036,WEEK,R036_T03,Stop 049
R036,WEEK,R036_T04,Stop 049
R036,WEEK,R036_T05,Stop 049
R036,WEEK,R036_T06,Stop 049
R037,WEEK,R037_T01,Stop 036
R037,WEEK,R037_T02,Stop 036
R037,WEEK,R037_T03,Stop 036
R037,WEEK,R037_T04,Stop 036
R037,WEEK,R037_T05,Stop 036
R037,WEEK,R037_T06,Stop 036
R038,WEEK,R038_T01,Stop 077
R038,WEEK,R038_T02,Stop 077
R038,WEEK,R038_T03,Stop 077
R038,WEEK,R038_T04,Stop 077
R038,WEEK,R038_T05,Stop 077
R038,WEEK,R038_T06,Stop 077
R039,WEEK,R039_T01,Stop 050
R039,WEEK,R039_T02,Stop 050
R039,WEEK,R039_T03,Stop 050
R039,WEEK,R039_T04,Stop 050
R039,WEEK,R039_T05,Stop 050
R039,WEEK,R039_T06,Stop 050
R040,WEEK,R040_T01,Stop 019
R040,WEEK,R040_T02,Stop 019
R040,WEEK,R040_T03,Stop 019
R040,WEEK,R040_T04,Stop 019
R040,WEEK,R040_T05,Stop 019
R040,WEEK,R040_T06,Stop 019
R041,WEEK,R041_T01,Stop 064
R041,WEEK,R041_T02,Stop 064
R041,WEEK,R041_T03,Stop 064
R041,WEEK,R041_T04,Stop 064
R041,WEEK,R041_T05,Stop 064
R041,WEEK,R041_T06,Stop 064
R042,WEEK,R042_T01,Stop 076
R042,WEEK,R042_T02,Stop 076
R042,WEEK,R042_T03,Stop 076
R042,WEEK,R042_T04,Stop 076
R042,WEEK,R042_T05,Stop 076
R042,WEEK,R042_T06,Stop 076
R043,WEEK,R043_T01,Stop 100
R043,WEEK,R043_T02,Stop 100
R043,WEEK,R043_T03,Stop 100
R043,WEEK,R043_T04,Stop 100
R043,WEEK,R043_T05,Stop 100
R043,WEEK,R043_T06,Stop 100
R044,WEEK,R044_T01,Stop 082
R044,WEEK,R044_T02,Stop 082
R044,WEEK,R044_T03,Stop 082
R044,WEEK,R044_T04,Stop 082
R044,WEEK,R044_T05,Stop 082
R044,WEEK,R044_T06,Stop 082
R045,WEEK,R045_T01,Stop 112
R045,WEEK,R045_T02,Stop 112
R045,WEEK,R045_T03,Stop 112
R045,WEEK,R045_T04,Stop 112
R045,WEEK,R045_T05,Stop 112
R045,WEEK,R045_T06,Stop 112
R046,WEEK,R046_T01,Stop 028
R046,WEEK,R046_T02,Stop 028
R046,WEEK,R046_T03,Stop 028
R046,WEEK,R046_T04,Stop 028
R046,WEEK,R046_T05,Stop 028
R046,WEEK,R046_T06,Stop 028
R047,WEEK,R047_T01,Stop 098
R047,WEEK,R047_T02,Stop 098
R047,WEEK,R047_T03,Stop 098
R047,WEEK,R047_T04,Stop 098
R047,WEEK,R047_T05,Stop 098
R047,WEEK,R047_T06,Stop 098
R048,WEEK,R048_T01,Stop 098
R048,WEEK,R048_T02,Stop 098
R048,WEEK,R048_T03,Stop 098
R048,WEEK,R048_T04,Stop 098
R048,WEEK,R048_T05,Stop 098
R048,WEEK,R048_T06,Stop 098
R049,WEEK,R049_T01,Stop 086
R049,WEEK,R049_T02,Stop 086
R049,WEEK,R049_T03,Stop 086
R049,WEEK,R049_T04,Stop 086
R049,WEEK,R049_T05,Stop 086
R049,WEEK,R049_T06,Stop 086
R050,WEEK,R050_T01,Stop 081
R050,WEEK,R050_T02,Stop 081
R050,WEEK,R050_T03,Stop 081
R050,WEEK,R050_T04,Stop 081
R050,WEEK,R050_T05,Stop 081
R050,WEEK,R050_T06,Stop 081
