trip_id,arrival_time,departure_time,stop_id,stop_sequence
R002_T02,07:34:28,07:34:28,S0108,8
R002_T02,07:38:53,07:38:53,S0109,9
R002_T02,07:43:53,07:43:53,S0110,10
R002_T02,07:48:11,07:48:11,S0111,11
R002_T02,07:51:38,07:51:38,S0112,12
R002_T02,07:57:16,07:57:16,S0113,13
R002_T02,08:02:36,08:02:36,S0114,14
R002_T02,08:07:04,08:07:04,S0115,15
R002_T03,08:00:00,08:00:00,S0101,1
R002_T03,08:05:30,08:05:30,S0102,2
R002_T03,08:10:40,08:10:40,S0103,3
R002_T03,08:15:45,08:15:45,S0104,4
R002_T03,08:20:17,08:20:17,S0105,5
R002_T03,08:25:57,08:25:57,S0106,6
R002_T03,08:31:18,08:31:18,S0107,7
R002_T03,08:34:33,08:34:33,S0108,8
R002_T03,08:39:52,08:39:52,S0109,9
R002_T03,08:43:04,08:43:04,S0110,10
R002_T03,08:46:05,08:46:05,S0111,11
R002_T03,08:49:20,08:49:20,S0112,12
R002_T03,08:53:59,08:53:59,S0113,13
R002_T03,08:57:28,08:57:28,S0114,14
R002_T03,09:02:08,09:02:08,S0115,15
R002_T04,09:00:00,09:00:00,S0101,1
R002_T04,09:05:24,09:05:24,S0102,2
R002_T04,09:09:49,09:09:49,S0103,3
R002_T04,09:12:58,09:12:58,S0104,4
R002_T04,09:17:58,09:17:58,S0105,5
R002_T04,09:21:25,09:21:25,S0106,6
R002_T04,09:24:36,09:24:36,S0107,7
R002_T04,09:30:09,09:30:09,S0108,8
R002_T04,09:34:12,09:34:12,S0109,9
R002_T04,09:39:27,09:39:27,S0110,10
R002_T04,09:42:56,09:42:56,S0111,11
R002_T04,09:46:25,09:46:25,S0112,12
R002_T04,09:51:58,09:51:58,S0113,13
R002_T04,09:57:36,09:57:36,S0114,14
R002_T04,10:02:04,10:02:04,S0115,15
R002_T05,10:00:00,10:00:00,S0101,1
R002_T05,10:04:35,10:04:35,S0102,2
R002_T05,10:08:45,10:08:45,S0103,3
R002_T05,10:14:15,10:14:15,S0104,4
R002_T05,10:18:31,10:18:31,S0105,5
R002_T05,10:22:11,10:22:11,S0106,6
R002_T05,10:26:44,10:26:44,S0107,7
R002_T05,10:31:24,10:31:24,S0108,8
R002_T05,10:34:41,10:34:41,S0109,9
R002_T05,10:38:45,10:38:45,S0110,10
R002_T05,10:44:03,10:44:03,S0111,11
R002_T05,10:47:20,10:47:20,S0112,12
R002_T05,10:51:40,10:51:40,S0113,13
R002_T05,10:56:45,10:56:45,S0114,14
R002_T05,10:59:54,10:59:54,S0115,15
R002_T06,11:00:00,11:00:00,S0101,1
R002_T06,11:05:09,11:05:09,S0102,2
R002_T06,11:10:22,11:10:22,S0103,3
R002_T06,11:13:48,11:13:48,S0104,4
R002_T06,11:18:09,11:18:09,S0105,5
R002_T06,11:23:38,11:23:38,S0106,6
R002_T06,11:27:41,11:27:41,S0107,7
R002_T06,11:31:07,11:31:07,S0108,8
R002_T06,11:35:44,11:35:44,S0109,9
R002_T06,11:40:45,11:40:45,S0110,10
R002_T06,11:46:09,11:46:09,S0111,11
R002_T06,11:50:09,11:50:09,S0112,12
R002_T06,11:54:28,11:54:28,S0113,13
R002_T06,11:58:54,11:58:54,S0114,14
R002_T06,12:04:28,12:04:28,S0115,15
R003_T01,06:00:00,06:00:00,S0029,1
R003_T01,06:04:27,06:04:27,S0030,2
R003_T01,06:08:28,06:08:28,S0031,3
R003_T01,06:12:49,06:12:49,S0032,4
R003_T01,06:18:14,06:18:14,S0033,5
R003_T01,06:23:24,06:23:24,S0034,6
R003_T01,06:27:32,06:27:32,S0035,7
R003_T01,06:33:06,06:33:06,S0036,8
R003_T01,06:36:31,06:36:31,S0037,9
R003_T01,06:42:07,06:42:07,S0038,10
R003_T01,06:47:08,06:47:08,S0039,11
R003_T01,06:50:35,06:50:35,S0040,12
R003_T01,06:54:04,06:54:04,S0041,13
R003_T02,07:00:00,07:00:00,S0029,1
R003_T02,07:04:24,07:04:24,S0030,2
R003_T02,07:08:37,07:08:37,S0031,3
R003_T02,07:12:57,07:12:57,S0032,4
R003_T02,07:17:21,07:17:21,S0033,5
R003_T02,07:21:47,07:21:47,S0034,6
R003_T02,07:25:52,07:25:52,S0035,7
R003_T02,07:29:53,07:29:53,S0036,8
R003_T02,07:35:27,07:35:27,S0037,9
R003_T02,07:38:49,07:38:49,S0038,10
R003_T02,07:41:53,07:41:53,S0039,11
R003_T02,07:46:55,07:46:55,S0040,12
R003_T02,07:50:10,07:50:10,S0041,13
R003_T03,08:00:00,08:00:00,S0029,1
R003_T03,08:05:09,08:05:09,S0030,2
R003_T03,08:08:17,08:08:17,S0031,3
R003_T03,08:12:24,08:12:24,S0032,4
R003_T03,08:17:37,08:17:37,S0033,5
R003_T03,08:21:53,08:21:53,S0034,6
R003_T03,08:26:03,08:26:03,S0035,7
R003_T03,08:31:41,08:31:41,S0036,8
R003_T03,08:36:48,08:36:48,S0037,9
R003_T03,08:40:07,08:40:07,S0038,10
R003_T03,08:43:44,08:43:44,S0039,11
R003_T03,08:47:03,08:47:03,S0040,12
R003_T03,08:52:27,08:52:27,S0041,13
R003_T04,09:00:00,09:00:00,S0029,1
R003_T04,09:03:37,09:03:37,S0030,2
R003_T04,09:09:17,09:09:17,S0031,3
R003_T04,09:12:23,09:12:23,S0032,4
R003_T04,09:17:42,09:17:42,S0033,5
R003_T04,09:23:20,09:23:20,S0034,6
R003_T04,09:26:56,09:26:56,S0035,7
R003_T04,09:30:18,09:30:18,S0036,8
R003_T04,09:35:45,09:35:45,S0037,9
R003_T04,09:41:08,09:41:08,S0038,10
R003_T04,09:44:40,09:44:40,S0039,11
R003_T04,09:50:01,09:50:01,S0040,12
R003_T04,09:53:27,09:53:27,S0041,13
R003_T05,10:00:00,10:00:00,S0029,1
R003_T05,10:04:23,10:04:23,S0030,2
R003_T05,10:09:52,10:09:52,S0031,3
R003_T05,10:15:01,10:15:01,S0032,4
R003_T05,10:19:12,10:19:12,S0033,5
R003_T05,10:24:45,10:24:45,S0034,6
R003_T05,10:30:02,10:30:02,S0035,7
R003_T05,10:35:36,10:35:36,S0036,8
R003_T05,10:40:05,10:40:05,S0037,9
R003_T05,10:44:42,10:44:42,S0038,10
R003_T05,10:49:02,10:49:02,S0039,11
R003_T05,10:52:07,10:52:07,S0040,12
R003_T05,10:56:35,10:56:35,S0041,13
R003_T06,11:00:00,11:00:00,S0029,1
R003_T06,11:05:39,11:05:39,S0030,2
R003_T06,11:11:03,11:11:03,S0031,3
R003_T06,11:15:04,11:15:04,S0032,4
R003_T06,11:19:24,11:19:24,S0033,5
R003_T06,11:22:55,11:22:55,S0034,6
R003_T06,11:26:17,11:26:17,S0035,7
R003_T06,11:30:38,11:30:38,S0036,8
R003_T06,11:35:16,11:35:16,S0037,9
R003_T06,11:40:33,11:40:33,S0038,10
R003_T06,11:45:33,11:45:33,S0039,11
R003_T06,11:50:45,11:50:45,S0040,12
R003_T06,11:54:00,11:54:00,S0041,13
R004_T01,06:00:00,06:00:00,S0072,1
R004_T01,06:03:30,06:03:30,S0073,2
R004_T01,06:09:01,06:09:01,S0074,3
R004_T01,06:13:02,06:13:02,S0075,4
R004_T01,06:16:20,06:16:20,S0076,5
R004_T01,06:19:45,06:19:45,S0077,6
R004_T01,06:25:00,06:25:00,S0078,7
R004_T01,06:29:37,06:29:37,S0079,8
R004_T01,06:34:07,06:34:07,S0080,9
R004_T01,06:39:40,06:39:40,S0081,10
R004_T01,06:44:07,06:44:07,S0082,11
R004_T01,06:49:42,06:49:42,S0083,12
R004_T01,06:54:04,06:54:04,S0084,13
R004_T02,07:00:00,07:00:00,S0072,1
R004_T02,07:04:19,07:04:19,S0073,2
R004_T02,07:08:33,07:08:33,S0074,3
R004_T02,07:11:45,07:11:45,S0075,4
R004_T02,07:15:52,07:15:52,S0076,5
R004_T02,07:21:26,07:21:26,S0077,6
R004_T02,07:26:37,07:26:37,S0078,7
R004_T02,07:29:50,07:29:50,S0079,8
R004_T02,07:35:20,07:35:20,S0080,9
R004_T02,07:39:57,07:39:57,S0081,10
R004_T02,07:45:35,07:45:35,S0082,11
R004_T02,07:49:41,07:49:41,S0083,12
R004_T02,07:52:59,07:52:59,S0084,13
R004_T03,08:00:00,08:00:00,S0072,1
R004_T03,08:03:19,08:03:19,S0073,2
R004_T03,08:06:53,08:06:53,S0074,3
R004_T03,08:10:10,08:10:10,S0075,4
R004_T03,08:13:13,08:13:13,S0076,5
R004_T03,08:18:31,08:18:31,S0077,6
R004_T03,08:23:39,08:23:39,S0078,7
R004_T03,08:29:10,08:29:10,S0079,8
R004_T03,08:32:10,08:32:10,S0080,9
R004_T03,08:37:28,08:37:28,S0081,10
R004_T03,08:41:58,08:41:58,S0082,11
R004_T03,08:46:19,08:46:19,S0083,12
R004_T03,08:49:22,08:49:22,S0084,13
R004_T04,09:00:00,09:00:00,S0072,1
R004_T04,09:03:04,09:03:04,S0073,2
R004_T04,09:07:35,09:07:35,S0074,3
R004_T04,09:11:11,09:11:11,S0075,4
R004_T04,09:16:14,09:16:14,S0076,5
R004_T04,09:19:23,09:19:23,S0077,6
R004_T04,09:24:42,09:24:42,S0078,7
R004_T04,09:27:57,09:27:57,S0079,8
R004_T04,09:31:32,09:31:32,S0080,9
R004_T04,09:36:10,09:36:10,S0081,10
R004_T04,09:41:49,09:41:49,S0082,11
R004_T04,09:45:22,09:45:22,S0083,12
R004_T04,09:49:50,09:49:50,S0084,13
R004_T05,10:00:00,10:00:00,S0072,1
R004_T05,10:05:27,10:05:27,S0073,2
R004_T05,10:10:03,10:10:03,S0074,3
R004_T05,10:15:06,10:15:06,S0075,4
R004_T05,10:20:12,10:20:12,S0076,5
R004_T05,10:23:52,10:23:52,S0077,6
R004_T05,10:27:08,10:27:08,S0078,7
R004_T05,10:32:13,10:32:13,S0079,8
R004_T05,10:35:28,10:35:28,S0080,9
R004_T05,10:39:03,10:39:03,S0081,10
R004_T05,10:42:13,10:42:13,S0082,11
R004_T05,10:45:39,10:45:39,S0083,12
R004_T05,10:50:17,10:50:17,S0084,13
R004_T06,11:00:00,11:00:00,S0072,1
R004_T06,11:03:14,11:03:14,S0073,2
R004_T06,11:07:32,11:07:32,S0074,3
R004_T06,11:13:01,11:13:01,S0075,4
R004_T06,11:16:15,11:16:15,S0076,5
R004_T06,11:20:55,11:20:55,S0077,6
R004_T06,11:26:07,11:26:07,S0078,7
R004_T06,11:30:14,11:30:14,S0079,8
R004_T06,11:35:28,11:35:28,S0080,9
R004_T06,11:40:37,11:40:37,S0081,10
R004_T06,11:44:46,11:44:46,S0082,11
R004_T06,11:47:49,11:47:49,S0083,12
R004_T06,11:51:08,11:51:08,S0084,13
R005_T01,06:00:00,06:00:00,S0057,1
R005_T01,06:03:29,06:03:29,S0058,2
R005_T01,06:08:48,06:08:48,S0059,3
R005_T01,06:14:13,06:14:13,S0060,4
R005_T01,06:18:45,06:18:45,S0061,5
R005_T01,06:24:16,06:24:16,S0062,6
R005_T01,06:28:21,06:28:21,S0063,7
R005_T01,06:33:23,06:33:23,S0064,8
R005_T01,06:37:43,06:37:43,S0065,9
R005_T01,06:42:59,06:42:59,S0066,10
R005_T01,06:46:04,06:46:04,S0067,11
R005_T01,06:49:40,06:49:40,S0068,12
R005_T02,07:00:00,07:00:00,S0057,1
R005_T02,07:05:17,07:05:17,S0058,2
R005_T02,07:10:19,07:10:19,S0059,3
R005_T02,07:13:49,07:13:49,S0060,4
R005_T02,07:19:17,07:19:17,S0061,5
R005_T02,07:23:28,07:23:28,S0062,6
R005_T02,07:28:55,07:28:55,S0063,7
R005_T02,07:34:26,07:34:26,S0064,8
R005_T02,07:37:56,07:37:56,S0065,9
R005_T02,07:42:22,07:42:22,S0066,10
R005_T02,07:46:42,07:46:42,S0067,11
R005_T02,07:51:48,07:51:48,S0068,12
R005_T03,08:00:00,08:00:00,S0057,1
R005_T03,08:04:31,08:04:31,S0058,2
R005_T03,08:08:56,08:08:56,S0059,3
R005_T03,08:13:58,08:13:58,S0060,4
R005_T03,08:18:03,08:18:03,S0061,5
R005_T03,08:22:19,08:22:19,S0062,6
R005_T03,08:26:26,08:26:26,S0063,7
R005_T03,08:30:58,08:30:58,S0064,8
R005_T03,08:34:32,08:34:32,S0065,9
R005_T03,08:38:58,08:38:58,S0066,10
R005_T03,08:42:10,08:42:10,S0067,11
R005_T03,08:47:33,08:47:33,S0068,12
R005_T04,09:00:00,09:00:00,S0057,1
R005_T04,09:05:28,09:05:28,S0058,2
R005_T04,09:08:41,09:08:41,S0059,3
R005_T04,09:13:16,09:13:16,S0060,4
R005_T04,09:16:34,09:16:34,S0061,5
R005_T04,09:21:05,09:21:05,S0062,6
R005_T04,09:24:06,09:24:06,S0063,7
R005_T04,09:29:44,09:29:44,S0064,8
R005_T04,09:32:54,09:32:54,S0065,9
R005_T04,09:37:29,09:37:29,S0066,10
R005_T04,09:41:04,09:41:04,S0067,11
R005_T04,09:45:09,09:45:09,S0068,12
R005_T05,10:00:00,10:00:00,S0057,1
R005_T05,10:04:07,10:04:07,S0058,2
R005_T05,10:09:16,10:09:16,S0059,3
R005_T05,10:13:34,10:13:34,S0060,4
R005_T05,10:18:51,10:18:51,S0061,5
R005_T05,10:23:21,10:23:21,S0062,6
R005_T05,10:27:36,10:27:36,S0063,7
R005_T05,10:32:11,10:32:11,S0064,8
R005_T05,10:35:35,10:35:35,S0065,9
R005_T05,10:39:13,10:39:13,S0066,10
R005_T05,10:44:21,10:44:21,S0067,11
R005_T05,10:47:38,10:47:38,S0068,12
R005_T06,11:00:00,11:00:00,S0057,1
R005_T06,11:05:17,11:05:17,S0058,2
R005_T06,11:08:35,11:08:35,S0059,3
R005_T06,11:13:54,11:13:54,S0060,4
R005_T06,11:19:31,11:19:31,S0061,5
R005_T06,11:25:02,11:25:02,S0062,6
R005_T06,11:28:30,11:28:30,S0063,7
R005_T06,11:34:00,11:34:00,S0064,8
R005_T06,11:38:21,11:38:21,S0065,9
R005_T06,11:43:55,11:43:55,S0066,10
R005_T06,11:48:24,11:48:24,S0067,11
R005_T06,11:52:36,11:52:36,S0068,12
R006_T01,06:00:00,06:00:00,S0050,1
R006_T01,06:03:26,06:03:26,S0051,2
R006_T01,06:06:46,06:06:46,S0052,3
R006_T01,06:12:16,06:12:16,S0053,4
R006_T01,06:17:40,06:17:40,S0054,5
R006_T01,06:21:49,06:21:49,S0055,6
R006_T01,06:25:51,06:25:51,S0056,7
R006_T01,06:29:23,06:29:23,S0057,8
R006_T01,06:34:44,06:34:44,S0058,9
R006_T01,06:38:12,06:38:12,S0059,10
R006_T01,06:41:45,06:41:45,S0060,11
R006_T01,06:45:45,06:45:45,S0061,12
R006_T01,06:50:54,06:50:54,S0062,13
R006_T01,06:55:03,06:55:03,S0063,14
R006_T02,07:00:00,07:00:00,S0050,1
R006_T02,07:04:21,07:04:21,S0051,2
R006_T02,07:09:46,07:09:46,S0052,3
R006_T02,07:14:51,07:14:51,S0053,4
R006_T02,07:19:25,07:19:25,S0054,5
R006_T02,07:23:45,07:23:45,S0055,6
R006_T02,07:29:16,07:29:16,S0056,7
R006_T02,07:34:18,07:34:18,S0057,8
R006_T02,07:39:22,07:39:22,S0058,9
R006_T02,07:43:02,07:43:02,S0059,10
R006_T02,07:48:20,07:48:20,S0060,11
R006_T02,07:51:25,07:51:25,S0061,12
R006_T02,07:55:31,07:55:31,S0062,13
R006_T02,08:00:37,08:00:37,S0063,14
R006_T03,08:00:00,08:00:00,S0050,1
R006_T03,08:05:19,08:05:19,S0051,2
R006_T03,08:08:21,08:08:21,S0052,3
R006_T03,08:12:24,08:12:24,S0053,4
R006_T03,08:16:46,08:16:46,S0054,5
R006_T03,08:21:13,08:21:13,S0055,6
R006_T03,08:24:28,08:24:28,S0056,7
R006_T03,08:29:54,08:29:54,S0057,8
R006_T03,08:35:05,08:35:05,S0058,9
R006_T03,08:38:16,08:38:16,S0059,10
R006_T03,08:41:55,08:41:55,S0060,11
R006_T03,08:46:34,08:46:34,S0061,12
R006_T03,08:51:49,08:51:49,S0062,13
R006_T03,08:56:26,08:56:26,S0063,14
R006_T04,09:00:00,09:00:00,S0050,1
R006_T04,09:04:40,09:04:40,S0051,2
R006_T04,09:09:09,09:09:09,S0052,3
R006_T04,09:13:09,09:13:09,S0053,4
R006_T04,09:17:27,09:17:27,S0054,5
R006_T04,09:23:01,09:23:01,S0055,6
R006_T04,09:26:05,09:26:05,S0056,7
R006_T04,09:30:27,09:30:27,S0057,8
R006_T04,09:35:46,09:35:46,S0058,9
R006_T04,09:41:13,09:41:13,S0059,10
R006_T04,09:46:29,09:46:29,S0060,11
R006_T04,09:50:48,09:50:48,S0061,12
R006_T04,09:54:12,09:54:12,S0062,13
R006_T04,09:58:18,09:58:18,S0063,14
R006_T05,10:00:00,10:00:00,S0050,1
R006_T05,10:05:22,10:05:22,S0051,2
R006_T05,10:10:40,10:10:40,S0052,3
R006_T05,10:15:58,10:15:58,S0053,4
R006_T05,10:19:23,10:19:23,S0054,5
R006_T05,10:23:23,10:23:23,S0055,6
R006_T05,10:28:26,10:28:26,S0056,7
R006_T05,10:33:57,10:33:57,S0057,8
R006_T05,10:38:11,10:38:11,S0058,9
R006_T05,10:43:33,10:43:33,S0059,10
R006_T05,10:47:13,10:47:13,S0060,11
R006_T05,10:50:52,10:50:52,S0061,12
R006_T05,10:55:00,10:55:00,S0062,13
R006_T05,11:00:06,11:00:06,S0063,14
R006_T06,11:00:00,11:00:00,S0050,1
R006_T06,11:04:28,11:04:28,S0051,2
R006_T06,11:08:05,11:08:05,S0052,3
R006_T06,11:12:13,11:12:13,S0053,4
R006_T06,11:15:31,11:15:31,S0054,5
R006_T06,11:19:57,11:19:57,S0055,6
R006_T06,11:23:09,11:23:09,S0056,7
R006_T06,11:26:43,11:26:43,S0057,8
R006_T06,11:31:16,11:31:16,S0058,9
R006_T06,11:36:33,11:36:33,S0059,10
R006_T06,11:39:49,11:39:49,S0060,11
R006_T06,11:44:07,11:44:07,S0061,12
R006_T06,11:49:28,11:49:28,S0062,13
R006_T06,11:52:57,11:52:57,S0063,14
R007_T01,06:00:00,06:00:00,S0029,1
R007_T01,06:05:25,06:05:25,S0030,2
R007_T01,06:10:48,06:10:48,S0031,3
R007_T01,06:14:13,06:14:13,S0032,4
R007_T01,06:17:29,06:17:29,S0033,5
R007_T01,06:22:36,06:22:36,S0034,6
R007_T01,06:26:59,06:26:59,S0035,7
R007_T01,06:32:15,06:32:15,S0036,8
R007_T01,06:37:39,06:37:39,S0037,9
R007_T01,06:43:02,06:43:02,S0038,10
R007_T01,06:46:16,06:46:16,S0039,11
R007_T01,06:50:17,06:50:17,S0040,12
R007_T01,06:55:52,06:55:52,S0041,13
R007_T01,07:00:31,07:00:31,S0042,14
R007_T01,07:03:35,07:03:35,S0043,15
R007_T01,07:09:04,07:09:04,S0044,16
R007_T02,07:00:00,07:00:00,S0029,1
R007_T02,07:05:26,07:05:26,S0030,2
R007_T02,07:08:34,07:08:34,S0031,3
R007_T02,07:11:36,07:11:36,S0032,4
R007_T02,07:16:07,07:16:07,S0033,5
R007_T02,07:19:13,07:19:13,S0034,6
R007_T02,07:22:47,07:22:47,S0035,7
R007_T02,07:26:11,07:26:11,S0036,8
R007_T02,07:30:34,07:30:34,S0037,9
R007_T02,07:36:08,07:36:08,S0038,10
R007_T02,07:40:45,07:40:45,S0039,11
R007_T02,07:45:54,07:45:54,S0040,12
R007_T02,07:50:00,07:50:00,S0041,13
R007_T02,07:54:39,07:54:39,S0042,14
R007_T02,07:58:56,07:58:56,S0043,15
R007_T02,08:02:19,08:02:19,S0044,16
R007_T03,08:00:00,08:00:00,S0029,1
R007_T03,08:04:15,08:04:15,S0030,2
R007_T03,08:08:21,08:08:21,S0031,3
R007_T03,08:13:44,08:13:44,S0032,4
R007_T03,08:19:06,08:19:06,S0033,5
R007_T03,08:22:31,08:22:31,S0034,6
R007_T03,08:26:43,08:26:43,S0035,7
R007_T03,08:30:12,08:30:12,S0036,8
R007_T03,08:33:25,08:33:25,S0037,9
R007_T03,08:39:05,08:39:05,S0038,10
R007_T03,08:44:06,08:44:06,S0039,11
R007_T03,08:47:27,08:47:27,S0040,12
R007_T03,08:50:35,08:50:35,S0041,13
R007_T03,08:55:48,08:55:48,S0042,14
R007_T03,08:59:23,08:59:23,S0043,15
R007_T03,09:03:00,09:03:00,S0044,16
R007_T04,09:00:00,09:00:00,S0029,1
R007_T04,09:04:09,09:04:09,S0030,2
R007_T04,09:09:09,09:09:09,S0031,3
R007_T04,09:13:18,09:13:18,S0032,4
R007_T04,09:16:52,09:16:52,S0033,5
R007_T04,09:21:03,09:21:03,S0034,6
R007_T04,09:24:04,09:24:04,S0035,7
R007_T04,09:27:04,09:27:04,S0036,8
R007_T04,09:31:19,09:31:19,S0037,9
R007_T04,09:36:39,09:36:39,S0038,10
R007_T04,09:39:50,09:39:50,S0039,11
R007_T04,09:43:53,09:43:53,S0040,12
R007_T04,09:47:19,09:47:19,S0041,13
R007_T04,09:52:26,09:52:26,S0042,14
R007_T04,09:57:30,09:57:30,S0043,15
R007_T04,10:01:58,10:01:58,S0044,16
R007_T05,10:00:00,10:00:00,S0029,1
R007_T05,10:05:06,10:05:06,S0030,2
R007_T05,10:09:38,10:09:38,S0031,3
R007_T05,10:13:17,10:13:17,S0032,4
R007_T05,10:16:50,10:16:50,S0033,5
R007_T05,10:21:19,10:21:19,S0034,6
R007_T05,10:26:20,10:26:20,S0035,7
R007_T05,10:29:50,10:29:50,S0036,8
R007_T05,10:34:17,10:34:17,S0037,9
R007_T05,10:39:23,10:39:23,S0038,10
R007_T05,10:43:51,10:43:51,S0039,11
R007_T05,10:46:56,10:46:56,S0040,12
R007_T05,10:51:34,10:51:34,S0041,13
R007_T05,10:54:38,10:54:38,S0042,14
R007_T05,10:57:55,10:57:55,S0043,15
R007_T05,11:03:35,11:03:35,S0044,16
R007_T06,11:00:00,11:00:00,S0029,1
R007_T06,11:05:20,11:05:20,S0030,2
R007_T06,11:09:58,11:09:58,S0031,3
R007_T06,11:15:16,11:15:16,S0032,4
R007_T06,11:19:48,11:19:48,S0033,5
R007_T06,11:25:15,11:25:15,S0034,6
R007_T06,11:28:22,11:28:22,S0035,7
R007_T06,11:33:57,11:33:57,S0036,8
R007_T06,11:39:10,11:39:10,S0037,9
R007_T06,11:43:38,11:43:38,S0038,10
R007_T06,11:47:04,11:47:04,S0039,11
R007_T06,11:51:33,11:51:33,S0040,12
R007_T06,11:55:59,11:55:59,S0041,13
R007_T06,12:01:05,12:01:05,S0042,14
R007_T06,12:05:32,12:05:32,S0043,15
R007_T06,12:09:48,12:09:48,S0044,16
R008_T01,06:00:00,06:00:00,S0061,1
R008_T01,06:03:05,06:03:05,S0062,2
R008_T01,06:06:10,06:06:10,S0063,3
R008_T01,06:10:16,06:10:16,S0064,4
R008_T01,06:15:39,06:15:39,S0065,5
